"TIMESTAMP","RECORD","MinutesInYear","AirPressure_Avg","Temperature_Avg","Temperature2_Avg","RelativeHumidity_Avg","WindSpeed","WindDirection","WindDirection_SD","ShortwaveRadiationIn_Avg","ShortwaveRadiationOut_Avg","LongwaveRadiationIn_Avg","LongwaveRadiationOut_Avg","TemperatureRadSensor_Avg","SnowHeight","SnowHeightQuality","SurfaceHeight","SurfaceHeightQuality","IceHeight_Avg","TemperatureIce1m_Avg","TemperatureIce2m_Avg","TemperatureIce3m_Avg","TemperatureIce4m_Avg","TemperatureIce5m_Avg","TemperatureIce6m_Avg","TemperatureIce7m_Avg","TemperatureIce10m_Avg","TiltX_Avg","TiltY_Avg","TimeGPS","Latitude","Longitude","Altitude","Giodal","GeoUnit","Quality","NumberSatellites","HDOP","TemperatureLogger_Avg","FanCurrent_Avg","VoltageBatteriesIni","VoltageBatteries"
"TS","RN","","hPa","C","C","%","m/s","Deg","Deg","Vx10^-5","Vx10^-5","Vx10^-5","Vx10^-5","C","m","","m","","mV","C","C","C","C","C","C","C","C","Vx10^-2","Vx10^-2","","","","","","","","","","C","mA","V","V"
"","","Smp","Avg","Avg","Avg","Avg","WVc","WVc","WVc","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Smp","Smp"
"2016-05-01 14:30:00",51,176540,724.3578,-20.10127,-19.557,54.09529,1.062,265.1,0,681.7344,518.5814,-81.57403,-23.97481,-12.78403,2.685,190,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.527,-0.945,"","","","","","","","","",-12.60007,137.5,15.52003,15.22546
"2016-05-01 14:40:00",52,176550,724.069,-19.78748,-19.11478,51.7011,0.918,259.2,0,732.3641,559.2839,-101.9666,-28.65012,-11.4196,2.683,192,-999,0,-999,-109.0051,-999,-109.0051,-109.0051,-109.0051,-109.0051,-109.0051,-999,3.492,-0.938,"","","","","","","","","",-12.07592,141.3,15.81315,15.55721
"2016-05-01 14:50:00",53,176560,724.4035,-19.30627,-18.91911,50.23201,0.636,216.8,0,688.3247,531.797,-101.2682,-33.92188,-9.928635,2.683,189,-999,0,-999,-109.0052,-109.0052,-109.0052,-109.0052,-109.0052,-999,-109.0052,-109.0052,3.516,-0.924,"","","","","","","","","",-11.65118,142.3,15.79497,15.53394
"2016-05-01 15:00:00",54,176570,724.4005,-18.63052,-18.02693,49.51466,0.486,208.4,0,689.6068,534.4122,-122.551,-42.57452,-8.413208,2.68,187,-999,0,-999,-109.0056,-109.0056,-109.0056,-109.0056,-109.0056,-109.0056,-999,-999,3.489,-0.924,"","","","","","","","","",-11.09089,141.8,15.80571,15.62786
"2016-05-01 15:10:00",55,176580,724.4678,-18.12836,-17.29009,45.35402,0,0,0,697.2024,539.0331,-126.9235,-48.04394,-6.564072,2.682,191,-999,0,-999,-109.0059,-109.0059,-109.0059,-109.0059,-109.0059,-109.0059,-109.0059,-999,3.482,-0.91,"","","","","","","","","",-10.3973,142,15.9165,15.64438
"2016-05-01 15:20:00",56,176590,724.1946,-18.28976,-17.08226,45.76307,0,0,0,533.7325,420.5667,-103.8441,-52.71781,-5.973541,2.681,191,-999,0,-999,-999,-109.0061,-109.0061,-109.0061,-109.0061,-109.0061,-999,-999,3.475,-0.921,"","","","","","","","","",-9.617855,135.1,15.62766,15.13339
"2016-05-01 15:30:00",57,176600,724.1262,-17.64128,-16.80736,46.75195,0,0,0,490.046,392.7648,-105.0359,-54.10941,-6.141663,2.68,192,-999,0,-999,-109.0063,-109.0063,-109.0063,-999,-109.0063,-109.0063,-109.0063,-999,3.465,-0.89,"","","","","","","","","",-9.141151,134.7,15.61653,14.98342
"2016-05-01 15:40:00",58,176610,724.2497,-17.99397,-16.74026,46.91756,0,0,0,548.6057,447.0243,-106.1281,-58.68377,-4.376007,2.68,192,-999,0,-999,-109.0064,-109.0064,-109.0064,-109.0064,-109.0064,-109.0064,-109.0064,-109.0064,3.437,-0.91,"","","","","","","","","",-8.779675,135.5,15.71517,15.18182
