Variable,Type,Value/input variable (blank=no input),Notes
edition,,4,Current edition
masterTableNumber,,0,
bufrHeaderCentre,,98,
bufrHeaderSubCentre,,0,
updateSequenceNumber,,0,
dataCategory,,0,
internationalDataSubCategory,,7,
dataSubCategory,,7,
masterTablesVersionNumber,,13,Common C-Table 13
localTablesVersionNumber,,0,
typicalYear,,Year,
typicalMonth,,MonthOfYear,
typicalDay,,DayOfMonth,
typicalHour,,HourOfDay(UTC),
typicalMinute,,0,
typicalSecond,,0,
typicalDate,,"Year, MonthOfYear, DayOfMonth",
typicalTime,,"HourOfDay(UTC), 0, 0",
numberOfSubsets,,1,
observedData,,1,
compressedData,,0,
unexpandedDescriptors,,307080,synopLand template
subsetNumber,,1,Default value
blockNumber,Numeric,1,Default value
stationNumber,Numeric,1,Default value
stationOrSiteName,CCITT IA5,,
stationType,CODE TABLE,0,0=Automatic station
year,a,Year,
month,mon,MonthOfYear,
day,d,DayOfMonth,
hour,h,HourOfDay(UTC),
minute,min,0,
latitude,deg,LatitudeGPS(degN),
longitude,deg,LongitudeGPS(degW),
heightOfStationGroundAboveMeanSeaLevel,m,ElevationGPS(m),
heightOfBarometerAboveMeanSeaLevel,m,ElevationGPS(m) + HeightSensorBoom(m),
nonCoordinatePressure,Pa,,
pressureReducedToMeanSeaLevel,Pa,,
3HourPressureChange,Pa,,
characteristicOfPressureTendency,CODE TABLE,,
24HourPressureChange,Pa,,
pressure,Pa,AirPressure(hPa),Converted to Pa
nonCoordinateGeopotentialHeight,gpm,,
#1#heightOfSensorAboveLocalGroundOrDeckOfMarinePlatform,m,HeightSensorBoom(m),
airTemperature,K,AirTemperature (C),Converted to K
dewpointTemperature,K,,
relativeHumidity,%,RelativeHumidity(%),
#2#heightOfSensorAboveLocalGroundOrDeckOfMarinePlatform,m,HeightSensorBoom(m) – 0.1,From PROMICE info
horizontalVisibility,m,,
#3#heightOfSensorAboveLocalGroundOrDeckOfMarinePlatform,m,,
totalPrecipitationPast24Hours,kg m-2,,
#4#heightOfSensorAboveLocalGroundOrDeckOfMarinePlatform,m,,
cloudCoverTotal,%,CloudCover,
verticalSignificanceSurfaceObservations,CODE TABLE,,
cloudAmount,CODE TABLE,,
heightOfBaseOfCloud,m,,
cloudType,CODE TABLE,,
cloudType,CODE TABLE,,
cloudType,CODE TABLE,,
delayedDecriptorReplicationFactor,Numeric,,
verticalSignificanceSurfaceObservations,CODE TABLE,,
cloudAmount,CODE TABLE,,
cloudType,CODE TABLE,,
heightOfBaseOfCloud,m,,
delayedDescriptorReplicationFactor,Numeric,,
verticalSignificanceSurfaceObservations,CODE TABLE,,
cloudAmount,CODE TABLE,,
cloudType,CODE TABLE,,
heightOfTopOfCloud,m,,
cloudTopDescription,CODE TABLE,,
verticalSignificanceSurfaceObservations,CODE TABLE,,
